ATC Site,Direction,Function,R2adj
11,N,sat-delay,0.38
11,S,sat-delay,0.54
15,N,sat-delay,0.68
15,S,sat-delay,0.53
19,E,sat-delay,0.73
19,W,sat-delay,0.46
22,N,sat-delay,0.44
22,S,sat-delay,0.49
25,W,sat-delay,0.64
27,E,sat-delay,0.53
27,W,sat-delay,0.4
31,N,sat-delay,0.36
31,S,sat-delay,0.47
33,N,sat-delay,0.49
33,S,sat-delay,0.53
35,N,sat-delay,0.59
35,S,sat-delay,0.52
36,S,sat-delay,0.32
39,N,sat-delay,0.029
39,S,sat-delay,0.015
40,E,sat-delay,0.5
40,W,sat-delay,0.6
43,E,sat-delay,0.58
43,W,sat-delay,0.11
66,N,sat-delay,0.6
66,S,sat-delay,0.62
67,N,sat-delay,0.069
67,S,sat-delay,0.28
68,E,sat-delay,0.62
68,W,sat-delay,0.0027
9,N,sat-delay,0.16
9,S,sat-delay,0.071